Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
23515727,No Country for Old Men,Cormac McCarthy,"McCarthy, Cormac",,"=""0375706674""","=""9780375706677""",5,4.17,Vintage International,Paperback,309,2006,2005,2024/02/14,2024/02/04,2024,2024 (#3),read,,,,1,0
63852101,We hebben het over je gehad,Stéphanie Hoogenberk,"Hoogenberk, Stéphanie",,"=""9044650904""","=""9789044650907""",3,3.33,Prometheus,Paperback,224,2023,,2024/02/04,2024/02/04,2024,2024 (#2),read,,,,1,0
28408482,Krakatiet,Karel Čapek,"Čapek, Karel",Irma Pieper,"=""9028426396""","=""9789028426399""",4,3.69,Wereldbibliotheek,Paperback,368,2016,1922,2024/02/04,2023/09/30,2024,2024 (#1),read,,,,1,0
55762254,Een land van kleine buffers,Dirk Bezemer,"Bezemer, Dirk",,"=""908308003X""","=""9789083080031""",0,3.90,Uitgeverij Pluim,Paperback,320,2020,,,2021/10/23,to-read,to-read (#27),to-read,,,,0,0
37795360,Onder de paramariboom,Johan Fretz,"Fretz, Johan",,"=""9048842883""","=""9789048842889""",4,3.93,Lebowski,Paperback,240,2018,2017,2023/12/30,2023/12/30,2023,2023 (#28),read,,,,1,0
23878,Chronicle of a Death Foretold,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""140003471X""","=""9781400034710""",0,3.97,Vintage,Paperback,120,2003,1981,2023/12/26,2019/02/07,2023,2023 (#27),read,,,,1,0
36317638,Poverty Safari,Darren McGarvey,"McGarvey, Darren",,"=""1912147033""","=""9781912147038""",4,4.02,Luath Press,Paperback,224,2017,2017,2023/12/17,2023/12/16,2023,2023 (#26),read,,,,1,0
331256,Roadside Picnic,Arkady Strugatsky,"Strugatsky, Arkady","Boris Strugatsky, Theodore Sturgeon, Antonina W. Bouis","=""0575070536""","=""9780575070530""",4,4.13,Gollancz,Paperback,145,2000,1972,2017/05/07,2017/05/02,"2017, 2023","2017 (#16), 2023 (#25)",read,,,,2,0
10872083,Oorlog met de salamanders,Karel Čapek,"Čapek, Karel",Irma Pieper,"=""9028423915""","=""9789028423916""",5,4.17,Wereldbibliotheek,Paperback,286,2011,1936,2023/09/19,2018/05/03,2023,2023 (#23),read,,,,1,0
197693457,In schaamte kun je niet wonen,Cody Hochstenbach,"Hochstenbach, Cody",,"=""9493320073""","=""9789493320079""",4,4.12,Das Mag,Paperback,100,2023,,2023/09/17,2023/09/09,2023,2023 (#22),read,,,,1,0
