Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
29069374,"My Favorite Thing Is Monsters, Vol. 1 (My Favorite Thing Is Monsters, #1)",Emil Ferris,"Ferris, Emil",,1606999591,9781606999592,3,4.24,Fantagraphics,Paperback,416,2017,2017,2021/03/01,2021/07/25,,,read,,,,1,0
55595557,Mijn lieve gunsteling,Marieke Lucas Rijneveld,"Rijneveld, Marieke Lucas",,9025470149,9789025470142,5,3.87,Atlas Contact,Hardcover,368,2020,2020,2021/02/24,2021/01/14,,,read,,,,1,0
38344150,De avond is ongemak,Marieke Lucas Rijneveld,"Rijneveld, Marieke Lucas","Michele Hutchison, Genevieve Gaunt",,,4,3.45,Atlas Contact,Kindle Edition,260,2018,2018,2021/01/14,2021/01/14,,,read,Lize Spit Het Smelt 1 - Marieke Lucas Rijneveld De Avond Is Ongemak 0,,,1,0
17410660,"Radetzkymars (Von Trotta Family, #1)",Joseph Roth,"Roth, Joseph","W. Wielek-Berg, Elly Schippers",9045022680,9789045022680,4,4.1,L.J. Veen,Paperback,384,2013,1932,2021/02/02,2021/01/25,,,read,,,,1,0
46041170,Michael Kohlhaas,Heinrich von Kleist,"Kleist, Heinrich von",Michael Hofmann,0811228347,9780811228343,4,3.54,New Directions,Paperback,112,2020,1810,2021/01/20,2021/01/14,,,read,,,,1,0
30075271,Moedervlekken,Arnon Grunberg,"Grunberg, Arnon",,904881913X,9789048819133,4,3.44,Lebowski,Hardcover,400,2016,2016,2018/07/03,2018/07/01,,,read,,,,1,0
29901930,The Fisherman,John  Langan,"Langan, John",,1939905214,9781939905215,3,3.9,Word Horde,Paperback,266,2016,2016,2020/12/27,2016/10/14,,,read,,,,1,0
12009,The Algebraist,Iain M. Banks,"Banks, Iain M.",,1597800449,9781597800440,3,4.03,Night Shade Books,Paperback,434,2006,2004,2020/07/01,2019/09/07,,,read,,,,1,0
52207638,Beschavingen,Laurent Binet,"Binet, Laurent",Liesbeth van Nes,9029093862,9789029093866,3,3.67,Meulenhoff,Hardcover,368,2020,2019,,2021/01/04,,,read,,,,2,0
17453021,La Superba,Ilja Leonard Pfeijffer,"Pfeijffer, Ilja Leonard",,902958727X,9789029587273,4,3.74,De Arbeiderspers,Paperback,348,2013,2013,2020/11/01,2020/12/06,,,read,,,,1,0
334176,"The Sparrow (The Sparrow, #1)",Mary Doria Russell,"Russell, Mary Doria",,0449912558,9780449912553,4,4.14,Ballantine Books,Paperback,419,1997,1996,2021/01/06,2020/12/27,,,read,,,,1,0
95558,Solaris,Stanisław Lem,"Lem, Stanisław","Joanna Kilmartin, Steve Cox",,,4,3.99,Harcourt,Paperback,204,2002,1961,2020/05/03,2020/04/25,,,read,,,,1,0
