title,author,rating,average_goodreads_rating,original_publication_year,number_of_pages,path
"Caliban’s War (The Expanse, #2)",James S.A. Corey,2.0,4.38,2012,624,data/goodreads/clean/Thomas is een worstje_clean.csv
Leviathan Wakes (The Expanse #1),James S.A. Corey,3.0,4.31,2011,592,data/goodreads/clean/Thomas is een worstje_clean.csv
How to Live Safely in a Science Fictional Universe,Charles Yu,4.0,3.44,2010,256,data/goodreads/clean/Thomas is een worstje_clean.csv
Fight Club,Chuck Palahniuk,3.0,4.18,1996,224,data/goodreads/clean/Thomas is een worstje_clean.csv
"Jurassic Park (Jurassic Park, #1)",Michael Crichton,3.0,4.11,1990,416,data/goodreads/clean/Thomas is een worstje_clean.csv
The Gambler,Fyodor Dostoevsky,2.0,3.91,1866,188,data/goodreads/clean/Thomas is een worstje_clean.csv
Je moet (bijna) niks,Lianne Keemink,3.0,3.77,2018,160,data/goodreads/clean/Thomas is een worstje_clean.csv
The Left Hand of Darkness,Ursula K. Le Guin,4.0,4.1,1969,304,data/goodreads/clean/Thomas is een worstje_clean.csv
Amerikanen lopen niet,Arjen van Veelen,4.0,3.95,2018,256,data/goodreads/clean/Thomas is een worstje_clean.csv
"ThePossibility of an Island by Houellebecq, Michel ( Author ) ON Jul-03-2006, Paperback",Michel Houellebecq,4.0,3.8,2005,432,data/goodreads/clean/Thomas is een worstje_clean.csv
Distress,Greg Egan,2.0,3.86,1995,456,data/goodreads/clean/Thomas is een worstje_clean.csv
Planet of Exile,Ursula K. Le Guin,3.0,3.72,1966,126,data/goodreads/clean/Thomas is een worstje_clean.csv
Alles wat er was,Hanna Bervoets,2.0,3.47,2013,284,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Forever War (The Forever War, #1)",Joe Haldeman,3.0,4.14,1974,278,data/goodreads/clean/Thomas is een worstje_clean.csv
The Grapes of Wrath,John Steinbeck,4.0,4.01,1939,479,data/goodreads/clean/Thomas is een worstje_clean.csv
Something Wicked This Way Comes,Ray Bradbury,3.0,3.91,1962,293,data/goodreads/clean/Thomas is een worstje_clean.csv
The Lathe of Heaven,Ursula K. Le Guin,3.0,4.12,1971,176,data/goodreads/clean/Thomas is een worstje_clean.csv
Je hebt wél iets te verbergen,Maurits Martijn,4.0,3.96,2016,223,data/goodreads/clean/Thomas is een worstje_clean.csv
The Remains of the Day,Kazuo Ishiguro,5.0,4.14,1989,258,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Strain (The Strain Trilogy, #1)",Guillermo del Toro,2.0,3.8,2009,403,data/goodreads/clean/Thomas is een worstje_clean.csv
"God Bless You, Mr. Rosewater",Kurt Vonnegut Jr.,4.0,3.96,1965,290,data/goodreads/clean/Thomas is een worstje_clean.csv
Cat’s Cradle,Kurt Vonnegut Jr.,5.0,4.15,1963,306,data/goodreads/clean/Thomas is een worstje_clean.csv
If on a Winter’s Night a Traveler,Italo Calvino,5.0,4.03,1979,260,data/goodreads/clean/Thomas is een worstje_clean.csv
"1Q84 (1Q84, #1-3)",Haruki Murakami,1.0,3.95,2009,944,data/goodreads/clean/Thomas is een worstje_clean.csv
Het Slot,Franz Kafka,4.0,3.93,1926,336,data/goodreads/clean/Thomas is een worstje_clean.csv
Alleen met de goden,Alex Boogers,3.0,4.13,2015,520,data/goodreads/clean/Thomas is een worstje_clean.csv
"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,3.0,4.21,1993,345,data/goodreads/clean/Thomas is een worstje_clean.csv
Wind/Pinball: Two Novels,Haruki Murakami,2.0,3.53,1980,234,data/goodreads/clean/Thomas is een worstje_clean.csv
The Unbearable Lightness of Being,Milan Kundera,2.0,4.11,1984,314,data/goodreads/clean/Thomas is een worstje_clean.csv
"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,4.0,3.73,1958,215,data/goodreads/clean/Thomas is een worstje_clean.csv
The Art of Fielding,Chad Harbach,4.0,3.99,2011,605,data/goodreads/clean/Thomas is een worstje_clean.csv
High-Rise,J.G. Ballard,3.0,3.61,1975,208,data/goodreads/clean/Thomas is een worstje_clean.csv
"Borne (Borne, #1)",Jeff VanderMeer,3.0,3.93,2017,323,data/goodreads/clean/Thomas is een worstje_clean.csv
Neem een geit,Claudia de Breij,3.0,3.4,2015,208,data/goodreads/clean/Thomas is een worstje_clean.csv
Fear and Loathing in Las Vegas,Hunter S. Thompson,3.0,4.07,1971,204,data/goodreads/clean/Thomas is een worstje_clean.csv
Authentic: How to be yourself and why it matters,Stephen Joseph,3.0,3.88,,246,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Year of the Flood (MaddAddam, #2)",Margaret Atwood,2.0,4.06,2009,431,data/goodreads/clean/Thomas is een worstje_clean.csv
"Paaz (Paaz, #1)",Myrthe van der Meer,3.0,3.83,2012,352,data/goodreads/clean/Thomas is een worstje_clean.csv
"Old Man's War (Old Man's War, #1)",John Scalzi,3.0,4.23,2005,355,data/goodreads/clean/Thomas is een worstje_clean.csv
Hex,Thomas Olde Heuvelt,4.0,3.73,2013,384,data/goodreads/clean/Thomas is een worstje_clean.csv
"Shōgun (Asian Saga, #1)",James Clavell,2.0,4.41,1975,1152,data/goodreads/clean/Thomas is een worstje_clean.csv
Heart of a Dog,Mikhail Bulgakov,3.0,4.1,1925,123,data/goodreads/clean/Thomas is een worstje_clean.csv
Hallo witte mensen,Anousha Nzume,5.0,4.1,2017,140,data/goodreads/clean/Thomas is een worstje_clean.csv
The Stranger,Albert Camus,4.0,4.03,1942,123,data/goodreads/clean/Thomas is een worstje_clean.csv
Aurora,Kim Stanley Robinson,4.0,3.77,2015,466,data/goodreads/clean/Thomas is een worstje_clean.csv
"A Canticle for Leibowitz (St. Leibowitz, #1)",Walter M. Miller Jr.,2.0,3.98,1959,354,data/goodreads/clean/Thomas is een worstje_clean.csv
The Stand,Stephen         King,4.0,4.35,1978,1152,data/goodreads/clean/Thomas is een worstje_clean.csv
Never Let Me Go,Kazuo Ishiguro,4.0,3.85,2005,288,data/goodreads/clean/Thomas is een worstje_clean.csv
Tenth of December,George Saunders,3.0,3.98,2013,251,data/goodreads/clean/Thomas is een worstje_clean.csv
De mooiste dagen zijn het ergst,Anke Scheeren,3.0,3.48,2009,158,data/goodreads/clean/Thomas is een worstje_clean.csv
Moesasji,Eiji Yoshikawa,4.0,4.47,1935,1280,data/goodreads/clean/Thomas is een worstje_clean.csv
"Metro 2033 (Metro, #1)",Dmitry Glukhovsky,2.0,4.02,2002,458,data/goodreads/clean/Thomas is een worstje_clean.csv
Blauwe maandagen,Arnon Grunberg,2.0,3.08,1994,271,data/goodreads/clean/Thomas is een worstje_clean.csv
De weduwnaar,Kluun,2.0,3.24,2006,268,data/goodreads/clean/Thomas is een worstje_clean.csv
Rose Madder,Stephen         King,2.0,3.75,1995,595,data/goodreads/clean/Thomas is een worstje_clean.csv
Player Piano,Kurt Vonnegut Jr.,2.0,3.9,1952,341,data/goodreads/clean/Thomas is een worstje_clean.csv
Cell,Stephen         King,2.0,3.66,2006,449,data/goodreads/clean/Thomas is een worstje_clean.csv
The Player of Games (Culture #2),Iain M. Banks,4.0,4.28,1988,309,data/goodreads/clean/Thomas is een worstje_clean.csv
Er moet iets gebeuren,Maartje Wortel,3.0,3.45,2015,236,data/goodreads/clean/Thomas is een worstje_clean.csv
Pushing Ice,Alastair Reynolds,2.0,4.07,2005,458,data/goodreads/clean/Thomas is een worstje_clean.csv
"Revelation Space (Revelation Space, #1)",Alastair Reynolds,2.0,3.99,2000,585,data/goodreads/clean/Thomas is een worstje_clean.csv
"Normal (Normal, #1-4)",Warren Ellis,4.0,3.64,2016,148,data/goodreads/clean/Thomas is een worstje_clean.csv
"Wool Omnibus (Silo, #1)",Hugh Howey,4.0,4.22,2012,509,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Girl with All the Gifts (The Girl With All the Gifts, #1)",M.R. Carey,4.0,3.95,2014,461,data/goodreads/clean/Thomas is een worstje_clean.csv
"Wizard's First Rule (Sword of Truth, #1)",Terry Goodkind,1.0,4.12,1994,836,data/goodreads/clean/Thomas is een worstje_clean.csv
"In the Dust of This Planet (Horror of Philosophy, #1)",Eugene Thacker,3.0,3.67,2011,179,data/goodreads/clean/Thomas is een worstje_clean.csv
Armor,John Steakley,2.0,4.11,1984,426,data/goodreads/clean/Thomas is een worstje_clean.csv
Tractatus Logico-Philosophicus,Ludwig Wittgenstein,4.0,4.09,1921,142,data/goodreads/clean/Thomas is een worstje_clean.csv
Freedom,Jonathan Franzen,4.0,3.79,2010,562,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.0,4.14,1985,311,data/goodreads/clean/Thomas is een worstje_clean.csv
The Corrections,Jonathan Franzen,3.0,3.84,2001,653,data/goodreads/clean/Thomas is een worstje_clean.csv
Weg van liefde,Alain de Botton,2.0,4.02,2016,240,data/goodreads/clean/Thomas is een worstje_clean.csv
"Begraven schaamte (Poppy & Serena, #1)",Dorothy Koomson,2.0,4.01,2010,400,data/goodreads/clean/Thomas is een worstje_clean.csv
"Harry Potter and the Philosopher’s Stone (Harry Potter, #1)",J.K. Rowling,4.0,4.47,1997,223,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Mote in God's Eye (Moties, #1)",Larry Niven,4.0,4.07,1974,596,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Caves of Steel (Robot, #1)",Isaac Asimov,3.0,4.19,1953,206,data/goodreads/clean/Thomas is een worstje_clean.csv
"Excession (Culture, #5)",Iain M. Banks,4.0,4.2,1996,500,data/goodreads/clean/Thomas is een worstje_clean.csv
"Koning van Katoren (Katoren, #1)",Jan Terlouw,4.0,4.13,1971,168,data/goodreads/clean/Thomas is een worstje_clean.csv
"#1)""",Terry Pratchett,4.0,4.0,1983,228,data/goodreads/clean/Thomas is een worstje_clean.csv
The Metamorphosis,Franz Kafka,4.0,3.88,1915,201,data/goodreads/clean/Thomas is een worstje_clean.csv
Lord of the Flies,William Golding,4.0,3.7,1954,182,data/goodreads/clean/Thomas is een worstje_clean.csv
What the Dog Saw and Other Adventures,Malcolm Gladwell,3.0,3.85,2009,444,data/goodreads/clean/Thomas is een worstje_clean.csv
Of Mice and Men,John Steinbeck,4.0,3.89,1937,107,data/goodreads/clean/Thomas is een worstje_clean.csv
The Pale King,David Foster Wallace,4.0,3.97,2011,548,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,4.0,4.25,1988,421,data/goodreads/clean/Thomas is een worstje_clean.csv
Sophie’s World,Jostein Gaarder,4.0,3.96,1991,403,data/goodreads/clean/Thomas is een worstje_clean.csv
Kafka on the Shore,Haruki Murakami,4.0,4.13,2002,467,data/goodreads/clean/Thomas is een worstje_clean.csv
Misery,Stephen         King,4.0,4.23,1987,370,data/goodreads/clean/Thomas is een worstje_clean.csv
A Thousand Splendid Suns,Khaled Hosseini,4.0,4.44,2007,372,data/goodreads/clean/Thomas is een worstje_clean.csv
Dit kan niet waar zijn. Onder bankiers,Joris Luyendijk,4.0,3.84,2015,208,data/goodreads/clean/Thomas is een worstje_clean.csv
The Green Mile,Stephen         King,4.0,4.48,1996,480,data/goodreads/clean/Thomas is een worstje_clean.csv
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,4.0,4.01,2005,268,data/goodreads/clean/Thomas is een worstje_clean.csv
The Passion of New Eve,Angela Carter,4.0,3.67,1977,187,data/goodreads/clean/Thomas is een worstje_clean.csv
Lagoon,Nnedi Okorafor,2.0,3.63,2014,306,data/goodreads/clean/Thomas is een worstje_clean.csv
"Echopraxia (Firefall, #2)",Peter Watts,3.0,3.83,2014,384,data/goodreads/clean/Thomas is een worstje_clean.csv
Under the Skin,Michel Faber,3.0,3.75,2000,296,data/goodreads/clean/Thomas is een worstje_clean.csv
HhhH: Himmlers hersens heten Heydrich,Laurent Binet,2.0,4.07,2010,356,data/goodreads/clean/Thomas is een worstje_clean.csv
