Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
37415,Their Eyes Were Watching God,Zora Neale Hurston,"Hurston, Zora Neale","","=""0061120065""","=""9780061120060""",0,3.98,Amistad,Paperback,238,2006,1937,"",2015/12/04,to-read,to-read (#4),to-read,"","","",0,0
4980,Breakfast of Champions,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut","","=""0385334206""","=""9780385334204""",0,4.07,Dell Publishing,Paperback,303,1999,1973,"",2015/12/04,to-read,to-read (#3),to-read,"","","",0,0
4934,The Brothers Karamazov,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Richard Pevear, Larissa Volokhonsky","=""""","=""""",0,4.37,"Farrar, Straus and Giroux",Paperback,796,2002,1880,"",2015/12/04,to-read,to-read (#2),to-read,"","","",0,0
4473,A Prayer for Owen Meany,John Irving,"Irving, John","","=""0552135399""","=""9780552135399""",2,4.24,Black Swan,Paperback,637,1990,1989,"",2015/12/04,"","",read,"","","",1,0
656,War and Peace,Leo Tolstoy,"Tolstoy, Leo","Aylmer Maude, Louise Maude","=""""","=""""",0,4.16,Oxford University Press,Paperback,1392,1998,1869,"",2015/12/04,to-read,to-read (#1),to-read,"","","",0,0
153747,"Moby-Dick or, The Whale",Herman Melville,"Melville, Herman","Andrew Delbanco, Tom Quirk, William Hootkins, Rockwell Kent, Anton Lomaev","=""0142437247""","=""9780142437247""",3,3.55,Penguin Classics ,Paperback,720,2003,1851,"",2015/12/04,"","",read,"","","",1,0
5907,"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,"Tolkien, J.R.R.","Douglas A. Anderson, Michael Hague, Jemima Catlin","=""""","=""""",3,4.29,Houghton Mifflin,Paperback,366,2002,1937,"",2015/12/04,"","",read,"","","",1,0
189802,Belgarath the Sorcerer,David Eddings,"Eddings, David",Leigh Eddings,"=""0345403959""","=""9780345403957""",4,4.10,Del Rey Books,Mass Market Paperback,736,1997,1995,"",2015/12/04,"","",read,"","","",1,0
10818853,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,"James, E.L.","","=""1612130291""","=""9781612130293""",1,3.66,Vintage,Paperback,356,2011,2011,"",2015/12/04,"","",read,"","","",1,0
4588,Extremely Loud & Incredibly Close,Jonathan Safran Foer,"Foer, Jonathan Safran","","=""0618711651""","=""9780618711659""",3,3.97,Mariner Books Classics,Paperback,326,2006,2005,"",2015/12/04,"","",read,"","","",1,0
32692,Gerald's Game,Stephen         King,"King, Stephen","","=""0831727527""","=""9780831727529""",5,3.58,Smithmark Publishers,Hardcover,332,1994,1992,"",2015/12/04,"","",read,"","","",1,0
43814,"The Vampire Lestat (The Vampire Chronicles, #2)",Anne Rice,"Rice, Anne","","=""0345476883""","=""9780345476883""",4,4.10,Ballantine Books,Mass Market Paperback,481,2004,1985,"",2015/12/04,"","",read,"","","",1,0
43758,"The Queen of the Damned (The Vampire Chronicles, #3)",Anne Rice,"Rice, Anne","","=""0345419626""","=""9780345419620""",2,3.92,Ballantine Books,Paperback,448,1997,1988,"",2015/12/04,"","",read,"","","",1,0
13099738,Steal Like an Artist: 10 Things Nobody Told You About Being Creative,Austin Kleon,"Kleon, Austin","","=""0761169253""","=""9780761169253""",5,3.96,Workman Publishing Company,Paperback,160,2012,2012,"",2015/12/04,"","",read,"","","",1,0
1885,Pride and Prejudice,Jane Austen,"Austen, Jane",Anna Quindlen,"=""""","=""""",2,4.29,Modern Library,Paperback,279,2000,1813,"",2015/12/04,"","",read,"","","",1,0
17863,Accelerando,Charles Stross,"Stross, Charles","","=""0441014151""","=""9780441014156""",4,3.87,Ace,Mass Market Paperback,415,2006,2005,"",2015/12/04,"","",read,"","","",1,0
5128,The Doors of Perception / Heaven and Hell,Aldous Huxley,"Huxley, Aldous","","=""0060595183""","=""9780060595180""",5,3.91,Harper Perennial Modern Classics,Paperback,187,2004,1954,"",2015/12/04,"","",read,"","","",1,0
7082,Do Androids Dream of Electric Sheep?,Philip K. Dick,"Dick, Philip K.","","=""""","=""""",3,4.09,Del Rey / Ballantine Books,Paperback,244,1996,1968,"",2015/12/04,"","",read,"","","",1,0
17214,Starship Troopers,Robert A. Heinlein,"Heinlein, Robert A.","","=""""","=""""",4,4.01,Ace Books,Mass Market Paperback,264,1987,1959,"",2015/12/04,"","",read,"","","",1,0
18007564,The Martian,Andy Weir,"Weir, Andy","","=""0804139024""","=""9780804139021""",3,4.42,Ballantine Books,Hardcover,384,2014,2011,"",2015/12/04,"","",read,"","","",1,0
156785,Diaspora,Greg Egan,"Egan, Greg","","=""3453161815""","=""9783453161818""",4,4.11,Heyne,Paperback,443,2000,1997,"",2015/12/04,"","",read,"","","",1,0
40745,Mindset: The New Psychology of Success,Carol S. Dweck,"Dweck, Carol S.","","=""""","=""""",4,4.10,Random House,Hardcover,276,2006,2006,"",2015/12/04,"","",read,"","","",1,0
7015403,The Gifts of Imperfection,Brené Brown,"Brown, Brené","","=""159285849X""","=""9781592858491""",4,4.25,Hazelden,Paperback,137,2010,2010,"",2015/12/04,"","",read,"","","",1,0
29581,"Foundation and Empire (Foundation, #2)",Isaac Asimov,"Asimov, Isaac","","=""0553803727""","=""9780553803723""",2,4.22,Spectra,Hardcover,256,2004,1952,"",2015/12/04,"","",read,"","","",1,0
29579,"Foundation (Foundation, #1)",Isaac Asimov,"Asimov, Isaac","","=""0553803719""","=""9780553803716""",3,4.17,Bantam,Hardcover,244,2004,1951,"",2015/12/04,"","",read,"","","",1,0
587887,Komt een vrouw bij de dokter,Kluun,"Kluun, Kluun","","=""905759305X""","=""9789057593055""",3,3.72,Podium,Paperback,316,2004,2003,"",2015/12/04,"","",read,"","","",1,0
1451403,Turks Fruit,Jan Wolkers,"Wolkers, Jan","","=""9029067357""","=""9789029067355""",4,3.60,Meulenhoff,Paperback,189,2005,1969,"",2015/12/04,"","",read,"","","",1,0
12245969,Taal is zeg maar echt mijn ding,Paulien Cornelisse,"Cornelisse, Paulien","","=""9025435386""","=""9789025435387""",4,3.65,Contact,Paperback,230,2010,2009,"",2015/12/04,"","",read,"","","",1,0
6596724,Een schitterend gebrek,Arthur Japin,"Japin, Arthur","","=""902952345X""","=""9789029523455""",2,3.96,De Arbeiderspers,Hardcover,239,2003,2003,"",2015/12/04,"","",read,"","","",1,0
1857440,"John Dies at the End (John Dies at the End, #1)",David  Wong,"Wong, David",Jason Pargin,"=""0978970764""","=""9780978970765""",2,3.87,Permuted Pr,Paperback,362,2007,2007,"",2015/12/04,"","",read,"","","",1,0
32418,"Hannibal (Hannibal Lecter, #3)",Thomas  Harris,"Harris, Thomas","","=""""","=""""",3,3.81,Arrow,Paperback,564,2000,1999,"",2015/12/04,"","",read,"","","",1,0
17231,"Darkly Dreaming Dexter (Dexter, #1)",Jeff Lindsay,"Lindsay, Jeff","","=""""","=""""",3,3.90,Vintage Books,Paperback,288,2006,2004,"",2015/12/04,"","",read,"","","",1,0
357,"The Long Dark Tea-Time of the Soul (Dirk Gently, #2)",Douglas Adams,"Adams, Douglas","","=""0671742515""","=""9780671742515""",2,4.04,Pocket Books,Mass Market Paperback,307,1991,1988,"",2015/12/04,"","",read,"","","",1,0
 Death," #1)""",Terry Pratchett,"Pratchett, Terry","","=""0061020680""","=""9780061020681""",4,4.24,Harpertorch,Mass Market Paperback,243,2001,1987,"",2015/12/04,"","",read,"","","",1,"0"""
2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,"Gladwell, Malcolm","","=""0316346624""","=""9780316346627""",4,4.00,Time Warner Book Group,Paperback,301,2002,2002,"",2015/12/04,"","",read,"","","",1,0
