Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
12013,"Excession (Culture, #5)",Iain M. Banks,"Banks, Iain M.",,"=""0553575376""","=""9780553575378""",0,4.20,Random House Inc,Mass Market Paperback,500,1998,1996,,2023/01/06,to-read,to-read (#140),to-read,,,,0,0
18423,The Left Hand of Darkness,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""""","=""""",0,4.10,Ace,Paperback,304,2000,1969,,2023/01/06,to-read,to-read (#139),to-read,,,,0,0
20706284,"Ancillary Sword (Imperial Radch, #2)",Ann Leckie,"Leckie, Ann",,"=""0316246654""","=""9780316246651""",0,4.08,Orbit,Paperback,359,2014,2014,,2023/01/05,to-read,to-read (#138),to-read,,,,0,0
17333324,"Ancillary Justice (Imperial Radch, #1)",Ann Leckie,"Leckie, Ann",,"=""""","=""""",4,3.99,Orbit,Paperback,386,2013,2013,,2023/01/05,,,read,,,,1,0
34516974,"Winter (Seasonal, #2)",Ali Smith,"Smith, Ali",,"=""0241207029""","=""9780241207024""",5,3.81,Hamish Hamilton,Hardcover,322,2017,2017,,2022/11/15,,,read,,,,1,0
28446947,"Autumn (Seasonal Quartet, #1)",Ali Smith,"Smith, Ali",,"=""0241207002""","=""9780241207000""",4,3.67,Hamish Hamilton,Hardcover,264,2016,2016,,2022/08/28,,,read,,,,1,0
10746542,The Sense of an Ending,Julian Barnes,"Barnes, Julian",,"=""0224094157""","=""9780224094153""",4,3.74,Jonathan Cape,Hardcover,150,2011,2011,,2022/08/02,,,read,,,,1,0
57792078,"The Every (The Circle, #2)",Dave Eggers,"Eggers, Dave",,"=""0593315340""","=""9780593315347""",4,3.70,Vintage,Paperback,580,2021,2021,,2022/07/10,,,read,,,,1,0
58808564,De Mitsukoshi Troostbaby Company,Auke Hulst,"Hulst, Auke",,"=""902634693X""","=""9789026346934""",0,4.07,Ambo|Anthos,Hardcover,608,2021,2021,,2022/06/10,to-read,to-read (#137),to-read,,,,0,0
18302455,"The Circle (The Circle, #1)",Dave Eggers,"Eggers, Dave",,"=""""","=""""",5,3.43,Knopf,Hardcover,493,2013,2013,,2014/11/03,,,read,,,,1,0
56098078,De geschiedenis van mijn seksualiteit,Sofie Lakmaker,"Lakmaker, Sofie",Tobi Lakmaker,"=""""","=""""",0,3.77,Das Mag Uitgevers,Paperback,223,2021,2021,,2022/03/30,to-read,to-read (#136),to-read,,,,0,0
59347840,Nachtdier,Joost van Bellen,"Bellen, Joost van",,"=""9463811079""","=""9789463811071""",4,3.55,Uitgeverij Podium,Paperback,389,2021,,,2022/03/30,,,read,,,,1,0
59831120,Devil in a Coma,Mark Lanegan,"Lanegan, Mark",,"=""1399601857""","=""9781399601856""",2,3.92,White Rabbit,Kindle Edition,148,2021,,,2022/03/26,,,read,,,,1,0
55881796,Crossroads,Jonathan Franzen,"Franzen, Jonathan",,"=""0374181179""","=""9780374181178""",4,4.06,"Farrar, Straus and Giroux",Hardcover,592,2021,2021,,2022/03/22,,,read,,,,1,0
55994368,The Barcelona Complex: Lionel Messi and the Making--and Unmaking--of the World's Greatest Soccer Club,Simon Kuper,"Kuper, Simon",,"=""0593297717""","=""9780593297711""",4,4.23,Penguin Press,Hardcover,416,2021,2021,,2022/01/19,,,read,,,,1,0
45304101,The Great Believers,Rebecca Makkai,"Makkai, Rebecca",,"=""073522353X""","=""9780735223530""",5,4.29,Penguin Books,Paperback,421,2019,2018,,2022/01/05,,,read,,,,1,0
792606,The Rise of the Meritocracy (Classics in Organization and Management Series),Michael Young,"Young, Michael",,"=""1560007044""","=""9781560007043""",0,3.80,Routledge,Paperback,198,1994,1958,,2021/10/20,to-read,to-read (#135),to-read,,,,0,0
22572511,"The Colonel (Firefall, #1.5)",Peter Watts,"Watts, Peter",,"=""1466876476""","=""9781466876477""",0,3.85,Tor Books,ebook,29,2014,2014,,2021/10/08,to-read,to-read (#134),to-read,,,,0,0
7331435,A Visit from the Goon Squad,Jennifer Egan,"Egan, Jennifer",,"=""0307592839""","=""9780307592835""",5,3.70,Knopf,Hardcover,274,2010,2010,2021/09/20,2014/02/27,,,read,,,,1,0
37774,"Arrow of God (The African Trilogy, #3)",Chinua Achebe,"Achebe, Chinua",,"=""""","=""""",0,3.80,Anchor Books,Paperback,230,1989,1964,,2021/08/11,to-read,to-read (#133),to-read,,,,0,0
111085,"No Longer at Ease (The African Trilogy, #2)",Chinua Achebe,"Achebe, Chinua",,"=""""","=""""",0,3.86,Anchor,Paperback,196,1994,1960,,2021/08/11,to-read,to-read (#132),to-read,,,,0,0
37781,"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,"Achebe, Chinua",,"=""""","=""""",5,3.73,Anchor Books,Paperback,215,1994,1958,,2021/08/11,,,read,,,,1,0
13486632,"The Hundred-Year-Old Man Who Climbed Out of the Window and Disappeared (The Hundred-Year-Old Man, #1)",Jonas Jonasson,"Jonasson, Jonas",Rod Bradbury,"=""1843913720""","=""9781843913726""",4,3.82,Hesperus Press,Paperback,396,2012,2009,,2014/02/27,,,read,,,,1,0
95558,Solaris,Stanisław Lem,"Lem, Stanisław","Steve Cox, Joanna Kilmartin","=""""","=""""",3,3.99,Harcourt,Paperback,204,2002,1961,,2017/08/15,,,read,,,,1,0
2268120,Things The Grandchildren Should Know,Mark Oliver Everett,"Everett, Mark Oliver",,"=""0316027871""","=""9780316027878""",4,4.25,"Little, Brown",Hardcover,246,2007,2007,,2021/06/12,,,read,,,,1,0
16981,Invisible Man,Ralph Ellison,"Ellison, Ralph",,"=""""","=""""",0,3.91,Vintage,Paperback,581,1995,1952,,2021/05/26,to-read,to-read (#131),to-read,,,,0,0
20685373,"Without You, There Is No Us: My Time with the Sons of North Korea's Elite",Suki Kim,"Kim, Suki",,"=""0307720659""","=""9780307720658""",4,3.93,Crown,Hardcover,291,2014,2014,,2016/04/28,,,read,,,,1,0
35456277,The End of Loneliness,Benedict Wells,"Wells, Benedict",Charlotte Collins,"=""""","=""""",3,4.38,Sceptre,Kindle Edition,274,2018,2016,2021/05/13,2021/02/21,,,read,,,,1,0
4929,Kafka on the Shore,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""""","=""""",5,4.13,Vintage International,Paperback,467,2006,2002,2021/04/16,2014/02/11,,,read,,,,1,0
4473,A Prayer for Owen Meany,John Irving,"Irving, John",,"=""0552135399""","=""9780552135399""",4,4.24,Black Swan,Paperback,637,1990,1989,,2021/02/21,,,read,,,,1,0
96647,Scar Tissue,Anthony Kiedis,"Kiedis, Anthony",Larry Sloman,"=""1401307450""","=""9781401307455""",3,4.11,Hachette Books,Paperback,465,2005,2004,,2021/02/21,,,read,,,,1,0
51792305,The Captain and the Glory,Dave Eggers,"Eggers, Dave",,"=""0525659080""","=""9780525659082""",3,3.42,Knopf Publishing Group,Hardcover,114,2019,2019,,2020/09/01,,,read,,,,1,0
53549474,Mijn ontelbare identiteiten,Sinan Çankaya,"Çankaya, Sinan",,"=""9403184000""","=""9789403184005""",0,4.21,De Bezige Bij,Paperback,244,2020,2020,,2020/09/01,to-read,to-read (#130),to-read,,,,0,0
350,Stranger in a Strange Land,Robert A. Heinlein,"Heinlein, Robert A.",James Warhola,"=""""","=""""",0,3.92,Ace,Paperback,525,1991,1961,,2020/09/01,to-read,to-read (#129),to-read,,,,0,0
33590210,An American Marriage,Tayari Jones,"Jones, Tayari",,"=""1616201347""","=""9781616201340""",0,3.94,Algonquin Books,Hardcover,308,2018,2018,,2020/09/01,to-read,to-read (#128),to-read,,,,0,0
375802,"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott",,"=""0812550706""","=""9780812550702""",4,4.31,Tor,Mass Market Paperback,324,2004,1985,,2020/06/28,,,read,,,,1,0
20911482,Schuld en Boete,Fyodor Dostoevsky,"Dostoevsky, Fyodor",Lourens Reedijk,"=""""","=""5413662914038""",3,4.27,De Morgen,Hardcover,570,2003,1866,,2020/05/12,,,read,,,,1,0
25489625,Between the World and Me,Ta-Nehisi Coates,"Coates, Ta-Nehisi",,"=""""","=""""",5,4.40,Spiegel & Grau,Hardcover,152,2015,2015,,2020/03/08,,,read,,,,1,0
36072,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,"Covey, Stephen R.",Jim Collins,"=""0743269519""","=""9780743269513""",5,4.16,Free Press,Paperback,372,2004,1989,2020/03/08,2020/01/30,,,read,,,,1,0
21265321,Bloodchild,Octavia E. Butler,"Butler, Octavia E.",,"=""""","=""""",4,4.01,Headline,Kindle Edition,31,2014,1984,,2016/09/14,,,read,,,,1,0
37858133,The God Game,Danny Tobey,"Tobey, Danny",,"=""1250306140""","=""9781250306142""",3,3.68,St. Martin's Press,Hardcover,452,2020,2020,2020/02/04,2020/01/12,,,read,,,,1,0
60926,"Lilith's Brood (Xenogenesis, #1-3)",Octavia E. Butler,"Butler, Octavia E.",,"=""0446676101""","=""9780446676106""",4,4.37,Grand Central Publishing,Paperback,746,2000,1987,2020/01/30,2016/09/16,,,read,,,,1,0
172732,The Motorcycle Diaries: Notes on a Latin American Journey,Ernesto Che Guevara,"Guevara, Ernesto Che",Aleida Guevara March,"=""1876175702""","=""9781876175702""",3,3.79,Ocean Press,Paperback,175,2003,1992,,2020/01/30,,,read,,,,1,0
108593,Driven to Distraction: Recognizing and Coping with Attention Deficit Disorder from Childhood Through Adulthood,Edward M. Hallowell,"Hallowell, Edward M.",John J. Ratey,"=""0684801280""","=""9780684801285""",4,4.12,Touchstone Books,Paperback,319,1995,1992,2020/01/30,2020/01/16,,,read,,,,1,0
576512,Eating Mammals: Three Novellas,John Barlow,"Barlow, John",,"=""0060591757""","=""9780060591755""",3,3.18,Harper Perennial,Paperback,272,2004,2004,,2020/01/12,,,read,,,,1,0
38820046,21 Lessons for the 21st Century,Yuval Noah Harari,"Harari, Yuval Noah",,"=""0525512179""","=""9780525512172""",4,4.17,Random House,Hardcover,372,2018,2018,2020/01/12,2019/06/19,,,read,,,,1,0
