index,date,title,author,blame,location,title_right,author_right,original_publication_year,average_goodreads_rating,number_of_pages,Robert,Peter,Thirsa,Koen_v_W,Koen_M,Thomas,average_bookclub_rating
21,2017-07-11,Pnin,Vladimir Nabokov,Robert,Robert - Uithoornstraat 17-3,Pnin,Vladimir Nabokov,1957,3.89,,4.0,,4.0,,,,4.0
50,2021-04-04,The Drowned World,J.G. Ballard,David,Laurynas - Keizersgracht 92k,The Drowned World,J.G. Ballard,1962,3.48,,2.0,1.0,3.0,2.0,,,2.0
49,2021-02-17,De avond is ongemak,Marieke Lucas Rijneveld,Dion,Teams,De avond is ongemak,Marieke Lucas Rijneveld,2018,3.45,,3.0,4.0,4.0,3.0,,,3.5
48,2021-01-05,Klont,Maxim Februari,Robert,Skype,Klont,Maxim Februari,2017,3.02,,3.0,3.0,,3.0,,,3.0
47,2020-11-18,The Dispossessed: An Ambiguous Utopia,Ursula K. Le Guin,Laurynas,Laurynas - Keizersgracht 92k,The Dispossessed: An Ambiguous Utopia,Ursula K. Le Guin,1974,4.25,,4.0,3.0,,3.0,,,3.3333333333333335
46,2020-09-21,Stranger in a Strange Land,Robert A. Heinlein,Thirsa & Koen,Laurynas - Keizersgracht 92k,Stranger in a Strange Land,Robert A. Heinlein,1961,3.92,,2.0,,,,,,2.0
45,2020-08-04,A Clockwork Orange,Anthony Burgess,David,De Doelen,A Clockwork Orange,Anthony Burgess,1962,4.0,,3.0,,,3.0,,5.0,3.6666666666666665
41,2020-02-03,De Pest,Albert Camus,Thirsa & Koen,Laurynas - Keizersgracht 92k,De pest,Albert Camus,1947,4.02,,3.0,5.0,4.0,4.0,,,4.0
44,2020-06-19,Who Fears Death,Nnedi Okarafor,Dion,Laurynas - Keizersgracht 92k,Who Fears Death,Nnedi Okorafor,2010,3.94,,2.0,,2.0,1.0,,,1.6666666666666667
43,2020-05-02,Solaris,Stanislaw Lem,Robert,Skype,Solaris,Stanisław Lem,1961,3.9900000000000007,,4.0,4.0,3.0,2.0,,3.0,3.2
42,2020-04-04,"Oryx and Crake (MaddAddam, #1)",Margaret Atwood,Laurynas,Skype,"Oryx and Crake (MaddAddam, #1)",Margaret Atwood,2003,4.01,,3.0,4.0,,4.0,,,3.6666666666666665
40,2019-12-20,The Gone-Away World,Nick Harkaway,Marloes,?,The Gone-Away World,Nick Harkaway,2008,4.1,,5.0,,,,,,5.0
