index,date,title,author,blame,location,title_right,author_right,average_goodreads_rating,original_publication_year,number_of_pages,Koen,Koen_M,Thomas,average_bookclub_rating
38,2019-09-04,Ivanov,Hanna Bervoets,Dion,?,Ivanov,Hanna Bervoets,3.62,2016,320,3.0,,,3.0
35,2019-04-17,The Book of Illusions,Paul Auster,Thirsa & Koen,?,The Book of Illusions,Paul Auster,3.9,2002,288,3.0,,3.0,3.0
18,2017-03-14,Watchmen,Alan Moore & Dave Gibbons,Laurynas,?,Watchmen,Alan Moore,4.38,1987,414,4.0,,,4.0
33,2019-01-09,Fight Club,Chuck Palahniuk,Marloes,?,Fight Club,Chuck Palahniuk,4.18,1996,224,5.0,,,5.0
32,2018-11-30,The Gambler,Fyodor Dostoyevsky,Dion,?,The Gambler,Fyodor Dostoevsky,3.91,1866,188,3.0,,,3.0
31,2018-10-15,The Power,Naomi Alderman,Robert,De Doelen,The Power,Naomi Alderman,3.76,2016,341,4.0,,4.0,4.0
30,2018-09-11,The Left Hand of Darkness,Ursula K. Le Guin,Laurynas,?,The Left Hand of Darkness,Ursula K. Le Guin,4.1,1969,304,2.0,,,2.0
29,2018-07-03,Cat's Cradle,Kurt Vonnegut,Thirsa & Koen,?,Cat's Cradle,Kurt Vonnegut Jr.,4.15,1963,206,4.0,,,4.0
27,2018-04-25,Het Slot,Franz Kafka,Dion,?,Het Slot,Franz Kafka,3.93,1926,336,2.0,,,2.0
26,2018-02-19,"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,Robert,De Doelen,"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,4.21,1993,345,4.0,,,4.0
25,2018-01-17,The Unbearable Lightness of Being,Milan Kundera,Iona,De Doelen,The Unbearable Lightness of Being,Milan Kundera,4.11,1984,314,2.0,,5.0,3.5
24,2017-12-05,"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,Laurynas,De Doelen,"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,3.73,1958,215,3.0,,5.0,4.0
23,2017-10-30,High-Rise,J.G. Ballard,Thirsa & Koen,De Doelen,High-Rise,J.G. Ballard,3.61,1975,208,4.0,,,4.0
22,2017-09-08,Fear and Loathing in Las Vegas,Hunter S. Thompson,David,?,Fear and Loathing in Las Vegas,Hunter S. Thompson,4.07,1971,230,3.0,,,3.0
19,2017-05-02,Never Let Me Go,Kazuo Ishiguro,Iona,Thirsa - Keizersgracht 151D,Never Let Me Go,Kazuo Ishiguro,3.85,2005,288,2.0,,4.0,3.0
17,2017-01-18,The Windup Girl,Paolo Bacigalupi,Thirsa & Koen,De Doelen,The Windup Girl,Paolo Bacigalupi,3.75,2009,359,2.0,,,2.0
33,2019-01-09,Fight Club,Chuck Palahniuk,Marloes,?,Fight Club,Chuck Palahniuk,4.18,1996,221,3.0,,,3.0
16,2016-11-30,The Heart of a Dog,Mikhail Bulgakov,Bram,Cafe Kostverloren,The Heart of a Dog,bulgakov-mikhail,4.1,1925,128,3.0,,,3.0
15,2016-10-12,Brave New World,Aldous Huxley,?,Van Zeggelenstraat 71,Brave New World,Aldous Huxley,3.99,1932,254,4.0,,,4.0
14,2016-09-06,Under the Skin,Michel Faber,Dion,?,Under the Skin,Michel Faber,3.75,2000,296,2.0,,,2.0
11,2016-03-29,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,Jelmer,De Doelen,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,4.08,2006,472,3.0,,,3.0
10,2016-02-16,Fahrenheit 451,Ray Bradbury,Bram,De Doelen,Fahrenheit 451,Ray Bradbury,3.96,1953,158,3.0,,,3.0
9,2016-01-05,The Passion of New Eve,Angela Carter,David,De Doelen,The Passion of New Eve,Angela Carter,3.67,1977,187,1.0,,2.0,1.5
8,2015-11-16,"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,Laurynas,De Doelen,"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.23,1979,216,3.0,,4.0,3.5
7,2015-09-14,1984,George Orwell,Thirsa & Koen,?,1984,George Orwell,4.19,1949,328,5.0,,5.0,5.0
5,2015-06-08,Starship Troopers,Robert A. Heinlein,Dion,?,Starship Troopers,Robert A. Heinlein,4.01,1959,264,3.0,,3.0,3.0
3,2015-01-27,Do Androids Dream of Electric Sheep?,Philip K. Dick,gezamenlijk,Laurynas - Jan Muschstraat 54,Do Androids Dream of Electric Sheep?,Philip K. Dick,4.09,1968,265,3.0,,,3.0
2,2014-11-26,"Ready Player One (Ready Player One, #1)",Ernest Cline,gezamenlijk,Koen - Prinsengracht 241,"Ready Player One (Ready Player One, #1)",Ernest Cline,4.23,2011,374,4.0,,,4.0
43,2020-05-02,Solaris,Stanislaw Lem,Robert,Skype,Solaris,Stanisław Lem,3.99,1961,204,,,3.0,3.0
15,2016-10-12,Brave New World,Aldous Huxley,?,Van Zeggelenstraat 71,Brave New World,Aldous Huxley,3.99,1932,268,,,4.0,4.0
3,2015-01-27,Do Androids Dream of Electric Sheep?,Philip K. Dick,gezamenlijk,Laurynas - Jan Muschstraat 54,Do Androids Dream of Electric Sheep?,Philip K. Dick,4.09,1968,244,,,4.0,4.0
18,2017-03-14,Watchmen,Alan Moore & Dave Gibbons,Laurynas,?,Watchmen,Alan             Moore,4.38,1987,416,,,5.0,5.0
